downtime_event_id,machine_id,production_line_id,start_timestamp,end_timestamp,downtime_reason,planned_flag,production_loss_units
DOWN0000,MACH001,LINE01,2026-02-12,2026-02-13,MECHANICAL_FAILURE,False,50
DOWN0001,MACH003,LINE02,2026-01-26,2026-01-28,SCHEDULED_MAINTENANCE,True,0
DOWN0002,MACH001,LINE02,2026-02-14,2026-02-14,SCHEDULED_MAINTENANCE,False,50
DOWN0003,MACH002,LINE01,2026-01-19,2026-01-21,SCHEDULED_MAINTENANCE,True,0
,MACH003,LINE02,2026-02-06,2026-02-08,SCHEDULED_MAINTENANCE,False,50
DOWN0005,MACH001,LINE03,2026-01-19,2026-01-21,ELECTRICAL_FAULT,False,50
DOWN0006,MACH003,LINE02,2026-02-18,2026-02-20,ELECTRICAL_FAULT,False,50
DOWN0007,MACH001,LINE01,2026-01-22,2026-01-23,ELECTRICAL_FAULT,False,50
DOWN0008,MACH001,LINE02,2026-01-15,2026-01-15,MECHANICAL_FAILURE,False,50
DOWN0009,MACH003,LINE02,2026-02-19,2026-02-19,SCHEDULED_MAINTENANCE,True,0
DOWN0010,MACH001,LINE01,2026-01-01,2026-01-03,SCHEDULED_MAINTENANCE,False,50
DOWN0011,MACH001,LINE02,2026-02-27,2026-02-26,SCHEDULED_MAINTENANCE,False,50
DOWN0012,MACH001,LINE01,2026-01-01,2026-01-01,SCHEDULED_MAINTENANCE,True,0
DOWN0013,MACH001,LINE01,2026-02-18,2026-02-18,MECHANICAL_FAILURE,False,50
,MACH001,LINE02,2026-01-23,2026-01-24,SCHEDULED_MAINTENANCE,True,0
DOWN0015,MACH001,LINE03,2026-02-14,2026-02-14,SCHEDULED_MAINTENANCE,True,0
DOWN0016,MACH002,LINE03,2026-02-12,2026-02-14,SCHEDULED_MAINTENANCE,True,0
DOWN0017,MACH001,LINE03,2026-01-15,2026-01-15,SCHEDULED_MAINTENANCE,True,0
DOWN0018,MACH003,LINE03,2026-01-23,2026-01-24,SCHEDULED_MAINTENANCE,False,50
DOWN0019,MACH002,LINE01,2026-02-12,2026-02-13,SCHEDULED_MAINTENANCE,True,0
DOWN0020,MACH003,LINE01,2026-02-19,2026-02-21,SCHEDULED_MAINTENANCE,True,0
DOWN0021,MACH001,LINE01,2026-02-11,2026-02-11,SCHEDULED_MAINTENANCE,True,0
DOWN0022,MACH002,LINE02,2026-01-15,2026-01-17,SCHEDULED_MAINTENANCE,True,0
DOWN0023,MACH001,LINE02,2026-02-07,2026-02-08,MECHANICAL_FAILURE,False,50
DOWN0024,MACH003,LINE01,2026-02-27,2026-02-28,SCHEDULED_MAINTENANCE,True,0
DOWN0025,MACH002,LINE02,2026-02-08,2026-02-08,SCHEDULED_MAINTENANCE,True,0
DOWN0026,MACH003,LINE02,2026-02-22,2026-02-24,SCHEDULED_MAINTENANCE,True,0
DOWN0027,MACH002,LINE02,2026-01-13,2026-01-15,SCHEDULED_MAINTENANCE,False,50
DOWN0028,MACH003,LINE01,2026-02-03,2026-02-03,SCHEDULED_MAINTENANCE,False,-20
DOWN0029,MACH001,LINE02,2026-02-15,2026-02-17,ELECTRICAL_FAULT,False,50
DOWN0030,MACH001,LINE02,2026-02-12,2026-02-13,SCHEDULED_MAINTENANCE,True,0
DOWN0031,MACH002,LINE02,2026-02-26,2026-02-28,ELECTRICAL_FAULT,False,50
DOWN0032,MACH002,LINE03,2026-02-04,2026-02-05,SCHEDULED_MAINTENANCE,True,0
DOWN0033,MACH002,LINE01,2026-01-08,2026-01-09,SCHEDULED_MAINTENANCE,True,0
DOWN0034,MACH003,LINE01,2026-02-09,2026-02-10,SCHEDULED_MAINTENANCE,False,50
DOWN0035,MACH003,LINE02,2026-01-09,2026-01-11,MECHANICAL_FAILURE,False,50
DOWN0036,MACH002,LINE03,2026-01-16,2026-01-17,SCHEDULED_MAINTENANCE,True,0
DOWN0037,MACH001,LINE02,2026-01-03,2026-01-04,SCHEDULED_MAINTENANCE,True,0
DOWN0038,MACH002,LINE02,2026-03-01,2026-03-01,SCHEDULED_MAINTENANCE,False,50
DOWN0039,MACH001,LINE01,2026-01-07,2026-01-09,SCHEDULED_MAINTENANCE,True,0
DOWN0040,MACH002,LINE02,2026-01-01,2026-01-01,SCHEDULED_MAINTENANCE,True,0
DOWN0041,MACH002,LINE01,2026-02-13,2026-02-14,MECHANICAL_FAILURE,False,50
DOWN0042,MACH003,LINE01,2026-02-18,2026-02-20,SCHEDULED_MAINTENANCE,True,0
DOWN0043,MACH002,LINE03,2026-02-15,2026-02-15,SCHEDULED_MAINTENANCE,True,0
DOWN0044,MACH003,LINE02,2026-01-20,2026-01-20,SCHEDULED_MAINTENANCE,True,0
DOWN0045,MACH001,LINE03,2026-01-31,2026-01-28,SCHEDULED_MAINTENANCE,True,0
DOWN0046,MACH003,LINE01,2026-02-26,2026-02-27,MECHANICAL_FAILURE,False,50
DOWN0047,MACH002,LINE01,2026-01-29,2026-01-30,ELECTRICAL_FAULT,False,50
DOWN0048,MACH001,LINE03,2026-02-10,2026-02-10,MECHANICAL_FAILURE,False,50
DOWN0049,MACH003,LINE03,2026-01-22,2026-01-24,SCHEDULED_MAINTENANCE,True,0
