production_order_id,vehicle_model_id,plant_id,production_line_id,planned_start_time,actual_start_time,planned_end_time,actual_end_time,planned_quantity,actual_quantity,rework_quantity,scrap_quantity,production_status
PROD0000,MODEL_A,PLANT02,LINE03,2026-01-06,2026-01-08,2026-01-09,2026-01-13,500,480,15,5,COMPLETED
PROD0001,MODEL_C,PLANT01,LINE03,2026-01-21,2026-01-23,2026-01-21,2026-01-24,500,480,15,5,COMPLETED
PROD0002,MODEL_B,PLANT02,LINE02,2026-01-26,2026-01-26,2026-01-31,2026-01-29,500,480,15,5,COMPLETED
PROD0003,MODEL_A,PLANT01,LINE01,2026-01-04,2026-01-05,2026-01-09,2026-01-08,500,480,15,5,COMPLETED
PROD0004,MODEL_B,PLANT02,LINE03,2026-01-02,2026-01-02,2026-01-06,2026-01-04,500,480,15,5,COMPLETED
PROD0005,MODEL_A,PLANT01,LINE01,2026-01-13,2026-01-13,2026-01-15,2026-01-14,500,480,15,5,COMPLETED
PROD0006,MODEL_B,PLANT01,LINE02,2026-01-06,2026-01-09,2026-01-06,2026-01-14,500,480,15,5,COMPLETED
PROD0007,MODEL_B,PLANT01,LINE03,2026-01-01,2026-01-01,2026-01-05,2026-01-01,500,480,15,5,COMPLETED
PROD0008,MODEL_A,PLANT02,LINE03,2026-01-20,2026-01-23,2026-01-22,2026-01-28,500,480,15,5,COMPLETED
PROD0009,MODEL_A,PLANT02,LINE01,2026-01-31,2026-01-31,2026-02-01,2026-01-31,500,480,15,5,COMPLETED
PROD0010,MODEL_C,PLANT02,LINE01,2026-01-07,2026-01-07,2026-01-07,2026-01-12,500,480,15,5,COMPLETED
PROD0011,MODEL_B,PLANT01,LINE01,2026-01-20,2026-01-21,2026-01-20,2026-01-26,500,480,15,5,COMPLETED
PROD0012,MODEL_C,PLANT02,LINE02,2026-01-03,2026-01-03,2026-01-06,2026-01-04,500,480,15,5,COMPLETED
PROD0013,MODEL_C,PLANT02,LINE01,2026-01-30,2026-02-01,2026-01-30,2026-02-05,500,480,15,5,COMPLETED
