inspection_id,vehicle_id,component_id,supplier_id,plant_id,production_line_id,inspection_timestamp,inspection_result,defect_code,defect_severity,rework_required,scrap_required
INSP0000,VEH001,COMP003,SUP001,PLANT02,LINE01,2026-01-03,PASS,,,False,False
INSP0001,VEH001,COMP002,SUP003,PLANT01,LINE01,2026-01-16,PASS,,,False,False
INSP0002,VEH003,COMP003,SUP002,PLANT02,LINE01,2026-01-24,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0003,VEH003,COMP003,SUP002,PLANT01,LINE02,2026-01-18,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0004,VEH003,COMP002,SUP002,PLANT01,LINE03,2026-01-09,FAIL,SCRATCH,MINOR,True,False
INSP0005,VEH001,COMP001,SUP002,PLANT01,LINE01,2026-02-04,PASS,,,False,False
INSP0006,VEH002,COMP002,SUP002,PLANT02,LINE02,2026-01-14,PASS,,,False,False
INSP0007,VEH002,COMP001,SUP002,PLANT02,LINE02,2026-02-23,PASS,,,False,False
INSP0008,VEH003,COMP002,SUP003,PLANT01,LINE01,2026-02-14,PASS,,,False,False
INSP0009,VEH003,COMP002,SUP001,PLANT02,LINE01,2026-01-08,FAIL,SCRATCH,MINOR,True,False
INSP0010,VEH003,COMP002,SUP002,PLANT01,LINE01,2026-01-09,PASS,,,False,False
INSP0011,VEH002,COMP002,SUP002,PLANT02,LINE01,2026-01-24,PASS,,,False,False
INSP0012,VEH003,COMP001,SUP003,PLANT01,LINE03,2026-01-20,PASS,,,False,False
INSP0013,VEH001,COMP001,SUP002,PLANT02,LINE03,2026-01-02,PASS,,,False,False
INSP0014,VEH001,COMP002,SUP002,PLANT01,LINE02,2026-01-11,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0015,VEH001,COMP002,SUP001,PLANT02,LINE02,2026-01-02,PASS,,,False,False
INSP0016,VEH001,COMP003,SUP003,PLANT01,LINE03,2026-01-31,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0017,VEH001,COMP003,SUP002,PLANT02,LINE03,2026-02-16,PASS,,,False,False
INSP0018,VEH003,COMP002,SUP002,PLANT02,LINE03,2026-02-03,PASS,,,False,False
INSP0019,VEH001,COMP003,SUP001,PLANT01,LINE03,2026-01-31,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0020,VEH001,COMP003,SUP002,PLANT01,LINE02,2026-02-11,PASS,,,False,False
INSP0021,VEH002,COMP001,SUP002,PLANT02,LINE03,2026-01-17,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0022,VEH001,COMP002,SUP003,PLANT02,LINE03,2026-02-03,FAIL,SCRATCH,MINOR,True,False
INSP0023,VEH003,COMP001,SUP001,PLANT01,LINE03,2026-01-01,PASS,,,False,False
INSP0024,VEH002,COMP003,SUP003,PLANT01,LINE02,2026-01-13,PASS,,,False,False
INSP0025,VEH003,COMP999,SUP001,PLANT02,LINE02,2026-02-16,PASS,,,False,False
INSP0026,VEH002,COMP003,SUP003,PLANT02,LINE02,2026-02-06,PASS,,,False,False
INSP0027,VEH001,COMP002,SUP003,PLANT01,LINE01,2026-02-26,PASS,,,False,False
INSP0028,VEH001,COMP002,SUP003,PLANT01,LINE02,2026-01-31,PASS,,EXTREME,False,False
INSP0029,VEH001,COMP002,SUP002,PLANT02,LINE01,2026-01-11,FAIL,SCRATCH,MINOR,True,False
INSP0030,VEH001,COMP001,SUP001,PLANT01,LINE02,2026-02-03,PASS,,,False,False
INSP0031,VEH001,COMP002,SUP001,PLANT01,LINE03,2026-01-11,FAIL,SCRATCH,MINOR,True,False
INSP0032,VEH001,COMP001,SUP003,PLANT01,LINE01,2026-01-23,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0033,VEH003,COMP003,SUP002,PLANT02,LINE03,2026-02-03,PASS,,,False,False
INSP0034,VEH003,COMP001,SUP002,PLANT02,LINE01,2026-01-12,PASS,,,False,False
INSP0035,VEH003,COMP002,SUP002,PLANT02,LINE03,2026-01-06,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0036,VEH002,COMP003,SUP002,PLANT01,LINE03,2026-02-01,PASS,,,False,False
INSP0037,VEH001,COMP003,SUP003,PLANT02,LINE03,2026-02-09,PASS,,,False,False
INSP0038,VEH003,COMP001,SUP001,PLANT02,LINE01,2026-02-14,PASS,,,False,False
INSP0039,VEH003,COMP003,SUP001,PLANT02,LINE03,2026-02-04,PASS,,,False,False
INSP0040,VEH002,COMP002,SUP002,PLANT01,LINE03,2026-01-30,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0041,VEH003,COMP002,SUP002,PLANT01,LINE02,2026-02-22,PASS,,,False,False
INSP0042,VEH001,COMP002,SUP003,PLANT01,LINE01,2026-02-14,PASS,,,False,False
INSP0043,VEH003,COMP001,SUP003,PLANT01,LINE02,2026-01-20,PASS,,,False,False
INSP0044,VEH003,COMP003,SUP003,PLANT02,LINE01,2026-01-10,PASS,,,False,False
INSP0045,VEH003,COMP003,SUP003,PLANT01,LINE02,2026-02-03,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0046,VEH001,COMP001,SUP003,PLANT01,LINE03,2026-02-06,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0047,VEH002,COMP003,SUP003,PLANT02,LINE03,2026-01-19,PASS,,,False,False
INSP0048,VEH001,COMP002,SUP003,PLANT02,LINE02,2026-01-15,FAIL,SCRATCH,MINOR,True,False
INSP0049,VEH003,COMP003,SUP002,PLANT01,LINE01,2026-01-27,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0050,VEH001,COMP003,SUP002,PLANT02,LINE03,2026-02-16,PASS,,,False,False
INSP0051,VEH003,COMP001,SUP001,PLANT01,LINE02,2026-01-03,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0052,VEH002,COMP002,SUP001,PLANT01,LINE03,2026-03-02,FAIL,SCRATCH,MINOR,True,False
