delivery_id,supplier_id,component_id,plant_id,purchase_order_id,planned_delivery_date,actual_delivery_date,ordered_quantity,delivered_quantity,accepted_quantity,rejected_quantity,delivery_status
DEL0000,SUP001,COMP002,PLANT01,PO0000,2026-01-11,2026-01-18,1000,1000,950,50,LATE
DEL0001,SUP002,COMP003,PLANT01,PO0001,2026-01-18,2026-01-21,1000,1000,950,50,LATE
DEL0002,SUP001,COMP002,PLANT01,PO0002,2026-01-07,2026-01-16,1000,1000,950,50,LATE
DEL0003,SUP002,COMP002,PLANT01,PO0003,2026-01-24,2026-01-30,1000,1000,950,50,LATE
DEL0004,SUP003,COMP002,PLANT01,PO0004,2026-01-04,2026-01-08,1000,1000,950,50,LATE
DEL0005,SUP002,COMP003,PLANT01,PO0005,2026-01-03,2026-01-07,1000,1000,950,50,LATE
DEL0006,SUP002,COMP003,PLANT02,PO0006,2026-01-24,2026-02-02,1000,1000,950,50,LATE
DEL0007,SUP002,COMP003,PLANT01,PO0007,2026-01-19,2026-01-20,1000,1000,950,50,LATE
DEL0008,SUP003,COMP002,PLANT02,PO0008,2026-01-15,2026-01-24,1000,1000,950,50,LATE
DEL0009,SUP001,COMP001,PLANT02,PO0009,2026-01-21,2026-01-22,1000,1000,950,50,LATE
DEL0010,SUP001,COMP001,PLANT01,PO0010,2026-01-19,2026-01-24,1000,1000,950,50,LATE
DEL0011,SUP002,COMP003,PLANT01,PO0011,2026-01-07,2026-01-10,1000,1000,950,50,LATE
DEL0012,SUP002,COMP001,PLANT02,PO0012,2026-01-03,2026-01-11,1000,1000,950,50,LATE
DEL0013,SUP001,COMP002,PLANT01,PO0013,2026-01-10,2026-01-12,1000,1000,950,50,LATE
DEL0014,SUP003,COMP003,PLANT01,PO0014,2026-01-04,2026-01-14,1000,1000,950,50,LATE
DEL0015,SUP002,COMP002,PLANT01,PO0015,2026-01-31,2026-02-09,1000,1000,950,50,LATE
DEL0016,SUP003,COMP003,PLANT02,PO0016,2026-01-10,2026-01-15,1000,1000,950,50,LATE
DEL0017,SUP002,COMP003,PLANT02,PO0017,2026-01-05,2026-01-13,1000,1000,950,50,LATE
DEL0018,SUP002,COMP003,PLANT02,PO0018,2026-01-18,2026-01-19,1000,1000,950,50,LATE
DEL0019,SUP001,COMP003,PLANT02,PO0019,2026-01-25,2026-01-30,1000,1000,950,50,LATE
DEL0020,SUP002,COMP003,PLANT02,PO0020,2026-01-05,2026-01-07,1000,1000,950,50,LATE
DEL0021,SUP002,COMP003,PLANT02,PO0021,2026-01-17,2026-01-18,1000,1000,950,50,LATE
DEL0022,SUP003,COMP001,PLANT01,PO0022,2026-01-17,2026-01-19,1000,1000,950,50,LATE
DEL0023,SUP001,COMP002,PLANT01,PO0023,2026-01-15,2026-01-22,1000,1000,950,50,LATE
DEL0024,SUP002,COMP002,PLANT02,PO0024,2026-01-14,2026-01-17,1000,1000,950,50,LATE
DEL0025,SUP003,COMP002,PLANT02,PO0025,2026-01-20,2026-01-28,1000,1000,950,50,LATE
DEL0026,SUP003,COMP001,PLANT01,PO0026,2026-01-22,2026-01-27,1000,1000,950,50,LATE
DEL0027,SUP001,COMP001,PLANT02,PO0027,2026-01-18,2026-01-21,1000,1000,950,50,LATE
DEL0028,SUP003,COMP002,PLANT01,PO0028,2026-01-01,2026-01-05,1000,1000,950,50,LATE
DEL0029,SUP002,COMP003,PLANT02,PO0029,2026-01-20,2026-01-26,1000,1000,950,50,LATE
DEL0030,SUP003,COMP001,PLANT01,PO0030,2026-01-09,2026-01-10,1000,1000,950,50,LATE
DEL0031,SUP001,COMP003,PLANT01,PO0031,2026-01-14,2026-01-15,1000,1000,950,50,LATE
DEL0032,SUP002,COMP001,PLANT01,PO0032,2026-01-24,2026-01-28,1000,1000,950,50,LATE
DEL0033,SUP003,COMP003,PLANT02,PO0033,2026-01-23,2026-01-25,1000,1000,950,50,LATE
DEL0034,SUP002,COMP002,PLANT01,PO0034,2026-01-01,2026-01-04,1000,1000,950,50,LATE
DEL0035,SUP003,COMP002,PLANT02,PO0035,2026-01-09,2026-01-15,1000,1000,950,50,LATE
DEL0036,SUP001,COMP002,PLANT02,PO0036,2026-01-27,2026-01-27,1000,1000,950,50,LATE
